site,tortid,sex,year,quarter,status,temperature,rainfall,local_tort_density,local_burrow_density,std_homerange,survey_rate,survey_freq,tort_survey,burrow_count,logistic_count
BSV,131,M,1997,3,NA,81.025000000000006,0.33499999999999996,nan,nan,NA,0.75409836065573776,0.071366997867610388,0.0,0,0
BSV,131,M,1998,1,E,52.700000000000003,0.070000000000000007,0.0,1.0,5.6843418860808015e-14,0.12068965517241378,0.16905766526019689,0.4666666666666667,2,1
BSV,131,M,1998,2,E,66.775000000000006,0.40500000000000003,0.22222222222222221,1.2592592592592593,0.62248646752675896,0.66386554621848737,0.12378691983122363,0.3375,2,1
BSV,131,M,1998,3,E,81.25,0.90499999999999992,0.0,0.56521739130434778,0.19872089333431556,0.61016949152542377,0.11508005317611701,0.3150684931506849,3,1
BSV,131,M,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,131,M,1999,2,E,70.474999999999994,0.40999999999999998,0.0,0.8571428571428571,0.044821834967780638,0.52500000000000002,0.104628164556962,0.21875,2,1
BSV,131,M,1999,3,E,83.424999999999997,0.20250000000000001,0.0,0.27272727272727271,0.2304262680462203,0.38181818181818183,0.097144539299381855,0.2558139534883721,1,0
BSV,137,F,1996,1,NA,52.299999999999997,0.56499999999999995,nan,nan,NA,0.11235955056179775,0.036440352896049098,0.0,0,0
BSV,137,F,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,137,F,1996,3,NA,83.275000000000006,0.69499999999999995,nan,nan,NA,0.34745762711864409,0.02883263009845289,0.0,0,0
BSV,137,F,1997,1,T,50.049999999999997,0.17999999999999999,0.92307692307692313,2.0,2.2737367544323206e-13,0.28813559322033899,0.093791440626883674,0.37142857142857144,1,0
BSV,137,F,1997,2,NA,73.5,0.035000000000000003,nan,nan,NA,0.59999999999999998,0.082480781457719199,0.0,0,0
BSV,137,F,1997,3,NA,81.025000000000006,0.33499999999999996,nan,nan,NA,0.75409836065573776,0.071366997867610388,0.0,0,0
BSV,137,F,1998,1,E,52.700000000000003,0.070000000000000007,0.0,1.5,5.6843418860808015e-14,0.12068965517241378,0.16905766526019689,0.4,2,1
BSV,137,F,1998,2,E,66.775000000000006,0.40500000000000003,0.0,1.0909090909090908,0.18781604148472644,0.66386554621848737,0.12378691983122363,0.4125,3,1
BSV,137,F,1998,3,E,81.25,0.90499999999999992,0.0,0.78947368421052633,0.28745022867320025,0.61016949152542377,0.11508005317611701,0.2602739726027397,5,1
BSV,137,F,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,137,F,1999,2,E,70.474999999999994,0.40999999999999998,0.25,1.0625,0.17638748042824007,0.52500000000000002,0.104628164556962,0.25,4,1
BSV,137,F,1999,3,E,83.424999999999997,0.20250000000000001,0.0,0.8571428571428571,0.080194814127471384,0.38181818181818183,0.097144539299381855,0.16279069767441862,4,1
BSV,136,F,1996,1,NA,52.299999999999997,0.56499999999999995,nan,nan,NA,0.11235955056179775,0.036440352896049098,0.0,0,0
BSV,136,F,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,136,F,1996,3,NA,83.275000000000006,0.69499999999999995,nan,nan,NA,0.34745762711864409,0.02883263009845289,0.0,0,0
